,index,text,token_ct,embeddings
10,10,"Entrepreneur - Adventure: THINGS TO KEEP IN MIND

According to motivation science, Adventure is the passion most related to being adventurous and courageous. If you score high in this passion, you crave excitement and have a higher tolerance for stress and pain than those around you. While this is a strength, too much Adventure passion can push you beyond your limits!
Having unmanaged Adventure can make you unaware of how your body truly feels. You can be so focused on the thrill of a risk-taking physical activity that you might end up injuring yourself!
Unmanaged Adventure can make you unaware of other people's limits and stressors, too! Your adventurous spirit and desire to pursue risk-taking activities could be exhausting to others who don't share the same passions. Even if you intend to help someone have fun or experience a challenge, dragging them along without considering their comfort level can have the opposite effect. It can make you appear reckless and uncaring of their well-being!",192,"[ 0.00713035 -0.02768651  0.03046054 ... -0.00898196  0.00824805
 -0.02427956]"
11,11,"Entrepreneur - Adventure: TAKE A MOMENT AND REFLECT

Do you ever take the time to evaluate how your body and mind really feel?
If you find it hard to face challenges head-on without pushing yourself or others too far, it’s time to manage your Adventure!",55,"[ 0.01507122 -0.02676325  0.00446392 ... -0.00063867  0.00194135
 -0.03608984]"
12,12,"Entrepreneur - Beauty: GENERAL DESCRIPTION:

Entrepreneur
Beauty
You desire aesthetically pleasing experiences, and you're good at finding something beautiful and satisfying no matter where you go or who you're with!",42,"[-0.01645753 -0.00725554  0.01566553 ... -0.00500706  0.0066649
 -0.02601524]"
13,13,"Entrepreneur - Beauty: WHAT MAKES YOU UNIQUE

If you score high in Beauty, it means you appreciate beautiful things! It shows in how you dress, do your hair, and decorate your space, as well as where you spend your time and who you spend it with. And to you, Beauty is more than looks. It's also about what's inside and how something makes you feel. You notice the small details others might overlook—you see the beauty in everything!",95,"[-0.0033832  -0.00868092  0.03889368 ... -0.00212597  0.00429129
 -0.02631815]"
14,14,"Entrepreneur - Beauty: WHY BEAUTY MATTERS

The Beauty passion increases your ability to see what makes something or someone special. It enables you to look past someone's outward appearance to see and appreciate who they truly are—and who they can be! You will know you have mastered your Beauty when you can show people what is within you and help them appreciate all the beauty surrounding them—even the little things!",82,"[ 9.60543839e-05 -1.85660403e-02  3.10431495e-02 ... -2.26871300e-04
 -1.48482795e-03 -2.30546780e-02]"
15,15,"Entrepreneur - Beauty: HOW YOU CONNECT WITH OTHERS

People know you as fashionable. You carefully choose the right hairstyle and clothes. To you, how you present yourself reflects your self-image and shows others how you feel about them. 
You notice details others might overlook. It makes you a valuable team player! 
People enjoy spending time with you because you take the time to appreciate your surroundings and get the most out of every experience—they know it means they will, too!
You help people to see their gifts and talents and learn to be confident in them!",113,"[-0.00557617 -0.00820122  0.02906327 ... -0.00534561  0.00889289
 -0.02188309]"
16,16,"Entrepreneur - Beauty: THINGS TO KEEP IN MIND

According to motivation science, Beauty is the passion most related to desiring aesthetically pleasing experiences. If you score high in this passion, you might spend so much time on the little details—or looking for beauty—that it holds you back!
Unmanaged Beauty can lead to an extreme level of perfectionism. Your desire for beauty can become an urgent need to meet the perfect image you see in your mind! You might be so concerned about perfecting the ""look and feel"" of something that you can't focus on anything else. It can make it hard for you to manage your time and get things done! 
Your unmanaged Beauty can cause you to forget about your commitments to others. It can make people think you're selfish and don't care about them, and that's the last thing you want! Knowing you made them feel bad can make you feel bad, which might slow you down even more.",195,"[-0.00728348 -0.01339544  0.03802405 ...  0.01258542  0.01140722
 -0.03663162]"
17,17,"Entrepreneur - Beauty: TAKE A MOMENT AND REFLECT

Does your search for Beauty ever cause you to neglect other things?
If your attention to detail negatively affects the other areas of your life, it's time to manage your Beauty!",48,"[-2.04592052e-05 -2.08709184e-02  2.34748274e-02 ...  1.69320125e-02
  5.01615833e-03 -2.94757131e-02]"
18,18,"Producer - Confidence: GENERAL DESCRIPTION:

Producer
Confidence
You’re very self-assured. You have a lot of good qualities and characteristics, and you know it—you like yourself!",37,"[-0.0008216  -0.00777326  0.00873754 ... -0.01349989 -0.00181212
 -0.00923607]"
19,19,"Producer - Confidence: WHAT MAKES YOU UNIQUE

If you score high in Confidence, you are just that—self-confident! You have an unshakeable belief in your own self-worth that isn’t dependent on how others view you. In other words, you are secure in who you are so what others think doesn’t affect what you think about yourself. Even if you experience setbacks, your confidence allows you to view them as temporary obstacles you can overcome. You have a greater chance of bouncing back than the average person.",106,"[ 0.00185803 -0.01565143  0.02394289 ... -0.00830457 -0.0069336
 -0.00522152]"
20,20,"Producer - Confidence: WHY CONFIDENCE MATTERS

The Confidence passion increases your ability to believe in yourself and your capacity to overcome setbacks. This means you are more willing to risk failure in order to give yourself a chance at success. If something does go wrong, you work to solve the problem and can remain optimistic that you will achieve a positive outcome.",71,"[ 0.00899741 -0.01796817  0.00298859 ... -0.00762549 -0.00176319
 -0.00831811]"
21,21,"Producer - Confidence: HOW YOU CONNECT WITH OTHERS

You're known for being straightforward. You get along with people who are just as frank as you are. People find your honesty refreshing!
You are very confident in your abilities and opinions, and people listen to you. People go to you for sound judgment, and even wisdom. When they want an objective point of view, you're the person they turn to. 
Confidence is a strong indicator of a leader. You are less sensitive to criticism and it's easy for you to rise to the top. So if leadership is something you haven’t tried, perhaps it’s time to step into something new!",132,"[ 0.01395434 -0.01440278 -0.00222076 ... -0.02043031 -0.00145413
 -0.00496579]"
22,22,"Producer - Confidence: THINGS TO KEEP IN MIND

According to motivation science, Confidence is related to a person's positive self-regard. If you score high in this passion, it can make you overly confident about your convictions. While Confidence is a strength, too much of the Confidence passion can turn into a blind spot! 
Unmanaged Confidence leads to pride and arrogance. It can make you overly optimistic about what you think, and you won’t be open to other people’s opinions. When people talk to you, you might roll your eyes, have an attitude, and come off like a know-it-all. This can make you difficult to be around even if you believe you’re “just being honest.” If your Confidence is unmanaged, people will feel like they cannot speak up. And if they do speak up, they know their opinions will not be valued or heard by you. To keep yourself grounded, surround yourself with people who will give you honest feedback and criticism—it will help you long term.",203,"[ 0.00944709 -0.02278416  0.03638586 ... -0.00793212  0.00861352
 -0.0097911 ]"
23,23,"Producer - Confidence: TAKE A MOMENT AND REFLECT

Has your honesty ever discouraged people and made them shy away from you?
Your Confidence should draw people to you, not push them away. If you notice the opposite is true, it’s time to manage your Confidence!",55,"[ 0.00152382 -0.02645639  0.01878182 ...  0.00600718  0.00349467
 -0.01016098]"
24,24,"Entrepreneur - Curiosity: GENERAL DESCRIPTION:

Entrepreneur
Curiosity
You desire to learn all there is to know about everything, so you ask lots of questions—you have an inquisitive nature!",41,"[-0.01242875 -0.00584612  0.00301841 ... -0.01283647  0.00659908
 -0.02059622]"
25,25,"Entrepreneur - Curiosity: WHAT MAKES YOU UNIQUE

If you score high in Curiosity, it means you love learning! You enjoy asking questions and want to know the ""why"" behind everything. Whether you're reading, studying, conversing with others, or doing an activity that makes you think—you like to challenge your mind!",68,"[-0.00700365 -0.00590523  0.02157492 ... -0.00222471  0.00328542
 -0.02553578]"
26,26,"Entrepreneur - Curiosity: WHY CURIOSITY MATTERS

The Curiosity passion increases your desire to learn, and learning leads to growth and understanding. Curiosity motivates you to become an expert in the topics you like! It also enables you to think and look beyond the surface to see why things are the way they are. Your ability to understand the bigger picture is a gift! You will know you’ve mastered your Curiosity when you can use your knowledge to inspire and teach others.",100,"[ 0.00521473 -0.00855479  0.02342007 ...  0.00187136  0.00587152
 -0.02819914]"
27,27,"Entrepreneur - Curiosity: HOW YOU CONNECT WITH OTHERS

You are thoughtful and analytical. Rather than drawing your own conclusions, you always ask questions to be sure you understand another person’s point of view. It makes others feel respected, heard, and valued by you! 
You enjoy engaging in deep conversations. You get to know others by sharing and discussing your ideas and thoughts on different topics.
You appreciate it when people give you space to explore beyond set instructions to gain understanding. When you can take the time to make sense of decisions, it can help you assist others long term.",118,"[-0.00536326 -0.01338849  0.01959099 ... -0.01268038 -0.00977583
 -0.01526367]"
28,28,"Entrepreneur - Curiosity: THINGS TO KEEP IN MIND

According to motivation science, Curiosity is the passion most related to the desire to understand. If you score high in this passion, you are eager to pursue answers and increase your knowledge. But you might put so much value on gaining knowledge that it affects your relationships with the people around you! 
If your Curiosity is unmanaged, your intense desire to uncover the ""why"" of everything can make you constantly question the people around you and over-analyze what they say. Even though you might just be asking questions to try and understand, asking too many can be incredibly frustrating and confusing to others. It can complicate things and make them feel you don't trust them. They might think you're not a helpful team member!
Unmanaged Curiosity can also make you prideful of your knowledge and abilities. It can lead you to be less receptive to the advice or insight of others and cause them to feel like you don’t value their input. You might come off like a know-it-all!",214,"[ 0.00114192 -0.00566843  0.03830804 ...  0.00011123 -0.00330219
 -0.0135515 ]"
29,29,"Entrepreneur - Curiosity: TAKE A MOMENT AND REFLECT

Do you struggle to give a straight answer when someone asks you to?
If your desire to learn and grow negatively affects your relationships with others, it's time to manage your Curiosity!",51,"[-0.00277281 -0.0107165   0.01893467 ...  0.00926353  0.0021696
 -0.03250452]"
30,30,"Body - Eating: GENERAL DESCRIPTION:

Body
Eating
You enjoy food, and it influences what you choose to eat and who you choose to eat it with—for you, it's all about how food makes you feel!",45,"[-0.0174059  -0.00635418  0.03373514 ... -0.01121514 -0.00596325
 -0.0268907 ]"
31,31,"Body - Eating: WHAT MAKES YOU UNIQUE

If you score high in Eating, it means you love food! You have a hearty appetite, so it goes beyond just eating because you have to. You find joy in trying different types of food, having snacks, and eating desserts. To you, food is more than just food—it's memories, holidays, and meeting new people!",77,"[-0.01072969 -0.0055379   0.03476864 ... -0.00605055  0.00316568
 -0.02509037]"
32,32,"Body - Eating: WHY EATING MATTERS 

The Eating passion is crucial for keeping your body alive. Food makes your body strong and healthy. It gives you the energy to stay active throughout the day and contains nutrients to help your body grow and heal. Food is also an incredible way to bring people of different cultures together. It can connect you even if you don't have anything in common!",79,"[-0.00464308 -0.0028807   0.02303277 ... -0.00615873  0.00144916
 -0.03063346]"
33,33,"Body - Eating: HOW YOU CONNECT WITH OTHERS

You enjoy talking about your favorite dishes with others. When you spend time with people, there is often some food around. Whether you're cooking, trying a new restaurant, or ordering dessert, you bond with people when the Eating passion is active. Food helps you open up!
You experience other backgrounds through the lens of Eating. Food helps you understand people who are different from you—it helps you appreciate their uniqueness!",93,"[ 0.01047541  0.00052417  0.04143608 ... -0.00097803 -0.00905283
 -0.02909837]"
34,34,"Body - Eating: THINGS TO KEEP IN MIND

According to motivation science, Eating is the passion most related to a person's desire to consume food. If you score high in this passion, your stress levels can influence what you put inside your body! 
Unmanaged Eating can lead you to eat without thinking. Because you have so many positive feelings associated with food, you might turn to food to make you feel better when you're anxious or sad. You might choose foods that aren't healthy for you or eat too much, which can make you feel even worse!",115,"[-0.00763913 -0.00788618  0.05409152 ...  0.0010646   0.00578948
 -0.03625172]"
35,35,"Body - Eating: TAKE A MOMENT AND REFLECT

Did you show care for your body with your recent food and drink choices?
What you eat has a huge impact on how you feel. If you notice that sometimes you find it hard to focus and feel sluggish throughout the day, it's time to manage your Eating!",65,"[ 0.01071305 -0.01967306  0.02647748 ...  0.01048581 -0.00105345
 -0.04111216]"
36,36,"Entrepreneur - Expedience: GENERAL DESCRIPTION:

Entrepreneur
Expedience
You like to be unconventional, so you're quick to recognize opportunities and adapt. If you can find a way to do something differently, you will!",46,"[-0.01852215 -0.01235263 -0.01489382 ... -0.00769831  0.01463562
 -0.02143025]"
37,37,"Entrepreneur - Expedience: WHAT MAKES YOU UNIQUE

If you score high in Expedience, it means you think outside the box! You want to be different (and efficient!), and it motivates you to pursue non-traditional ideas. When others go in one direction, you naturally want to go toward the other in search of a better way. You have a deep desire to experience fun and new things, and you enjoy the challenge of finding innovative, more efficient ways to do it all—you're good at it!",106,"[-0.01161058 -0.00459316  0.00288051 ... -0.01110666  0.00774266
 -0.03135196]"
38,38,"Entrepreneur - Expedience: WHY EXPEDIENCE MATTERS

The Expedience passion sparks new ideas that lead to change! It boosts your ability to identify areas that need improvement and enables you to think of fresh, new solutions. You will know you've mastered your Expedience when you can balance your need for a challenge and rapid change with respect for the systems, structures, and traditions currently in place. When you have mutual respect, it allows you to communicate your ideas in a way that benefits everyone!",101,"[ 0.00780371 -0.00030864 -0.00398078 ... -0.01785862  0.00522649
 -0.04370626]"
39,39,"Entrepreneur - Expedience: HOW YOU CONNECT WITH OTHERS

You enjoy spending time with people who challenge what currently exists. You give them the space to explore new ideas and thoughts and appreciate that they do the same for you.
People know you to be someone who pushes boundaries and is never satisfied with the status quo. They know you want to view things in a new way, and it helps them see everything differently, too.  
You bond with people who share your desire to experience something new—whether it's culture, food, experiences, or people. You talk about your ideas and might often be pleasantly surprised by what you create together!",129,"[ 0.00061547 -0.01046208  0.00308155 ... -0.01862778  0.0038397
 -0.02744862]"
40,40,"Entrepreneur - Expedience: THINGS TO KEEP IN MIND

According to motivation science, Expedience is the passion most related to self-interest. If you score high in this passion, you might be so determined to get ahead that you bend the rules and neglect the needs of others! 
Unmanaged Expedience can lead to rebellion and selfishness. If you're not being challenged or feel like change is too slow, it can make you feel dissatisfied. Your creativity is a plus, but your frustration can lead you to push the boundaries when you don't need to—or just because you want to. You might even quit if you feel like you're not thriving!  
In your desire to do your own thing, you won't want to work with anyone who holds you to rules, standards, or ethics. And if you get in trouble for bending the rules, you might question the people around you and blame them for your mistakes. Your unmanaged Expedience can prevent you from building relationships with people who might have the connections to make your ideas happen!",213,"[-0.00534757 -0.01072267  0.00130764 ... -0.01172061  0.01859606
 -0.03532012]"
41,41,"Entrepreneur - Expedience: TAKE A MOMENT AND REFLECT

Does your desire to experience something new cause you to bend the rules?
If you find it hard to balance creativity and staying within the lines, it’s time to manage your Expedience!",51,"[ 8.76436010e-03 -1.63879618e-02 -1.15884319e-02 ...  4.11916226e-05
  1.72504857e-02 -4.05942909e-02]"
42,42,"Integrator - Family: GENERAL DESCRIPTION:

Integrator
Family
You desire to support and care for others, so it motivates you to devote time to family, friends, and people who are younger than you!",43,"[ 0.00142895 -0.01849313 -0.01195791 ... -0.00622877 -0.02467526
 -0.02380923]"
43,43,"Integrator - Family: WHAT MAKES YOU UNIQUE

If you score high in Family, it means you’re nurturing! You love to care for your parents, siblings, and cousins and build your relationships with them. And this extends to your friends and others, too. You do your best to ensure you never leave anyone behind!",66,"[ 0.00388099 -0.01373579  0.00598374 ... -0.00745733 -0.01468948
 -0.02800141]"
44,44,"Integrator - Family: WHY FAMILY MATTERS

The Family passion influences your desire to share your values and knowledge with others. It makes you want to teach young people and ensure they know how to function in their daily lives. You will know you've mastered your Family when you can mentor others regardless of age. Your ability to help the next generation become more caring, understanding, and ready for the world in front of them is a gift!",88,"[ 1.73896141e-02 -1.43785980e-02 -1.24088358e-02 ... -4.47673119e-05
 -1.42857470e-02 -4.15971242e-02]"
45,45,"Integrator - Family: HOW YOU CONNECT WITH OTHERS

You want to serve as a role model for people younger than you, whether it's your siblings, cousins, people at school, or the children you have now or want to have in the future.
You like to spend significant time with your family members, and you make it a priority. You'll even decline an invitation to a social event or put aside your interests to ensure you get the family time you need. 
You enjoy talking about your family members with friends and acquaintances. The stories and photos you share show how much you care!
You are a natural with young people and have the heart to invest time with them. So if you haven't tried any form of mentoring or teaching yet, perhaps it's time to step into something new!",162,"[ 0.00421397 -0.01407538 -0.01513968 ... -0.01488691 -0.01512638
 -0.02175165]"
46,46,"Integrator - Family: THINGS TO KEEP IN MIND

According to motivation science, Family is the passion most related to raising your own children. While the Family passion can refer to your biological relatives (e.g., parents, siblings), it can extend beyond that. The term ""family"" can also be applied to friends and the people in your community! If you score high in this passion, it makes you want to devote all your time to helping those around you—even if they explicitly refuse.  
If your Family passion is unmanaged, you can be overprotective or defensive of the people you care about. If you notice a friend or family member going through something, you will quickly offer to help. You might even step into a nurturing role or give unwanted advice. When you do, it will make them feel coddled, and they might think you don't believe they can do something independently.",183,"[ 0.00904686 -0.01510932 -0.00161432 ...  0.00750782 -0.00321692
 -0.03583947]"
47,47,"Integrator - Family: TAKE A MOMENT AND REFLECT

Do you take care of so many people that you feel like you don’t have time for yourself?
If your desire to help others feels like a heavy burden you can't say ""no"" to, it’s time to manage your Family passion!",62,"[ 0.00585791 -0.02964982 -0.01353724 ...  0.00798624 -0.00992775
 -0.0358947 ]"
48,48,"Integrator - Forgiveness: GENERAL DESCRIPTION:

Integrator
Forgiveness
Your desire for harmony motivates you to be more understanding and patient toward others no matter the situation—it influences everything you do!",40,"[ 0.00100887 -0.01719142 -0.00955891 ... -0.0145609  -0.00034106
 -0.02614585]"
49,49,"Integrator - Forgiveness: WHAT MAKES YOU UNIQUE

If you score high in Forgiveness, it means you are compassionate! You are understanding of others even if they do wrong to you. You can put yourself in someone else's shoes, have empathy, and start with a clean slate. You’re just what today's world needs!",68,"[-0.01206298 -0.01786069  0.00356345 ... -0.00401097 -0.00985878
 -0.02014504]"
50,50,"Integrator - Forgiveness: WHY FORGIVENESS MATTERS

The Forgiveness passion enables you to see the value of cooperation. You will know you've mastered Forgiveness when you can find a resolution after a disagreement, fight, or competition. This ability to create solutions is beneficial for everyone!",60,"[ 0.01227549 -0.02940707 -0.00209495 ... -0.00609716 -0.00542083
 -0.03211241]"
51,51,"Integrator - Forgiveness: HOW YOU CONNECT WITH OTHERS 

You show understanding when someone makes a mistake. You don't judge. Instead of pointing your finger, you try to understand the other person's perspective.
You are a peacemaker. You can be deeply patient with other people. You prefer to avoid conflict and can often overlook insults. You are slow to anger and quick to forgive. 
You would prefer to cooperate with others than compete, and you never compare people to each other. When you do compete, you support others in their efforts.",112,"[-0.0060425  -0.01305682  0.00041174 ... -0.00990996 -0.01461042
 -0.01624996]"
52,52,"Integrator - Forgiveness: THINGS TO KEEP IN MIND

According to motivation science, Forgiveness is the passion most related to harmony. If you score high in this passion, it means you can overlook the wrongs done to you—but you might hurt yourself in the process!
If your Forgiveness is unmanaged, you will be silent when someone offends you, and you might even make excuses for their behavior. It can make it easy for people to take advantage of or manipulate you. You can end up being a target for mistreatment or bullying! Data reveals that when you are under stress, you will be so determined to avoid confrontations that you never correct people around you. Your reluctance to speak up can make it seem like you think their behavior is okay. People will view you as a person with no boundaries or principles, which is not who you are!",176,"[-0.00120441 -0.02526082  0.01289173 ... -0.00459318  0.00421795
 -0.02673493]"
53,53,"Integrator - Forgiveness: TAKE A MOMENT AND REFLECT

Do you find yourself excusing the behavior of others even if it bothers you? 
Your Forgiveness should help you maintain harmony, but never at the expense of yourself or what you believe in. If you struggle with this, it’s time to manage your Forgiveness!",68,"[ 0.01921861 -0.02711382 -0.00180337 ...  0.00367166  0.01160259
 -0.03103546]"
54,54,"Entrepreneur - Free Spirit: GENERAL DESCRIPTION:

Entrepreneur
Free Spirit
You like to go with the flow. No matter what you have going on, you're always willing to jump into something new—and you’ll jump in feet first!",48,"[-0.02348486 -0.02256362 -0.01886532 ... -0.03252365  0.00600806
 -0.0165422 ]"
55,55,"Entrepreneur - Free Spirit: WHAT MAKES YOU UNIQUE

If you score high in Free Spirit, it means you’re an improviser! You prefer to do things your way rather than conforming to rigid or structured schedules—they distract you and prevent you from being creative! You focus on the big picture instead of the small details of a plan, so you’re flexible when something unexpected happens. Your ability to do things without much preparation is a true gift!",91,"[-0.0186588  -0.02038822  0.00418844 ... -0.00731625  0.00283902
 -0.03142678]"
56,56,"Entrepreneur - Free Spirit: WHY FREE SPIRIT MATTERS

The Free Spirit passion increases your ability to become a master of multitasking! You aren't afraid to start something new when you have other things going on. Additionally, you’re always willing to explore new ways of doing something. With schedules and structure, the possibilities are finite, but when you combine them with Free Spirit, they’re practically infinite! You will know you've mastered your Free Spirit when you can complete everything you set out to do and inspire others to do things they’ve never imagined!",113,"[-0.00040353 -0.01988721 -0.01774865 ... -0.01837523  0.00721252
 -0.03914783]"
57,57,"Entrepreneur - Free Spirit: HOW YOU CONNECT WITH OTHERS

People see you as a free and relaxed person. You’re less concerned with having everything together, and your easy-going attitude can help others relax in times of stress. 
You are understanding of others when plans change. You never stress or get upset if you (or others) are late or have to cancel plans. You’re a go-with-the-flow type of person because you’re confident things will always work out how they need to!",100,"[-0.00766614 -0.01946682  0.00879254 ... -0.02782868  0.0038662
 -0.02713959]"
58,58,"Entrepreneur - Free Spirit: THINGS TO KEEP IN MIND

According to motivation science, Free Spirit is the passion most related to spontaneity. If you score high in this passion, you like spur-of-the-moment activities. But you might be doing so many things simultaneously that your performance suffers! 
Unmanaged Free Spirit can lead you to overcommit to things and become an extreme procrastinator—it can cause you to fail to follow through with your responsibilities! You can become too relaxed about being on time to work, class, or practice, and you might even forget important deadlines or people's birthdays. It can make others feel you don't care for or respect them! 
And when people try to correct you, it causes you to shy away from activities that require precision and repetition. But that's the last thing you want, especially if you want to enhance any skill!",178,"[-0.01388878 -0.02349992 -0.00054401 ... -0.01074147  0.01461977
 -0.02654571]"
59,59,"Entrepreneur - Free Spirit: TAKE A MOMENT AND REFLECT

Have you noticed that you aren't able to complete everything you set out to do?
Your Free Spirit should help you multitask and go with the flow without affecting your relationships and performance in a negative way. If you struggle to find that balance, it’s time to manage your Free Spirit!",72,"[-0.01680066 -0.0285264  -0.01358877 ... -0.002257    0.00858062
 -0.03760784]"
60,60,"Administrator - Honor: GENERAL DESCRIPTION:

Administrator
Honor
Your desire for upright character motivates you to emphasize ethics, morals, and traditions—you’re passionate about doing what's right!",37,"[ 0.00392628 -0.01016949 -0.00708902 ... -0.01725851  0.01879874
 -0.00768142]"
61,61,"Administrator - Honor: WHAT MAKES YOU UNIQUE

If you score high in Honor, it means you're loyal and honest! You value traditions and rules and are strong in your convictions—you'll defend them if you have to. You would never even dream of cutting corners because you respect the people who put the traditions and rules in place!",67,"[ 0.00131292 -0.01291151  0.01623011 ... -0.01210001  0.01422443
  0.00750148]"
62,62,"Administrator - Honor: WHY HONOR MATTERS

The Honor passion increases your desire to do what's right. You care deeply about having good character, morals, and ethics and sticking to them. It shows in the decisions you make each day and how you treat everyone around you. You will know you have mastered your Honor when your actions inspire others to do everything with integrity!",76,"[ 0.02172272 -0.01452033  0.00142748 ... -0.00745916  0.02065713
 -0.01215163]"
63,63,"Administrator - Honor: HOW YOU CONNECT WITH OTHERS

People see you as trustworthy and faithful. They know you keep your promises and can always count on you to be there for them if they need you. 
You bond with others who share the same traditions as you. You enjoy sharing memories during holidays or celebrations. It can be nostalgic, and gaining new friends is a plus! 
You appreciate when others are dutiful and self-disciplined like you are. When you see that they don't take advantage of others—and do what's right even if it requires personal sacrifice—it helps you respect and trust their intentions.",124,"[ 0.0100012  -0.0109259   0.01463783 ... -0.01286712  0.01399512
 -0.00207894]"
64,64,"Administrator - Honor: THINGS TO KEEP IN MIND

According to motivation science, Honor is the passion most related to upright character. If you score high in this passion, you might be so determined to ensure you and others are doing what you think is right that it can make you self-righteous and uncompromising—you won't give yourself or others any room for mistakes!
Unmanaged Honor can cause you to blame yourself and feel guilty if you fail to reach the high standards of behavior you have set. It can impact how you interact with others and affect your performance and self-esteem! 
And if you see someone else doing something that goes against your principles—even if their intent is good—you're likely to view them as self-serving and selfish. You might even accuse them of lacking character! 
The Honor passion can also cloud your judgment and make you resistant to change. Your great pride in the traditions and moral code you believe in might cause you to stay loyal—even if new data proves something about it isn't right!",205,"[ 0.00515145 -0.00864177  0.02531229 ... -0.00817376  0.01993343
 -0.00695429]"
65,65,"Administrator - Honor: TAKE A MOMENT AND REFLECT

Are you so stuck on rules and traditions that it negatively affects your relationships with people you care about?
The key is to ensure your Honor inspires people, not make them feel bad. If this is difficult for you, it’s time to manage your Honor!",63,"[ 0.00395934 -0.020994    0.0046646  ...  0.00350993  0.00811549
 -0.00889621]"
66,66,"Entrepreneur - Idealism: GENERAL DESCRIPTION:

Entrepreneur
Idealism
You desire fair and equal treatment and opportunities for everyone—it motivates you to support others and pursue societal change!",37,"[-0.02199279 -0.03915085  0.0040596  ... -0.00094757  0.01331523
 -0.0303222 ]"
